('瓮安县泰安建材有限责任公司', '002105291240461191')
('河南枫瑞建设工程管理有限公司', '002105291313922683')
('四川西莫罗建筑工程有限责任公司', '002105291306900148')
('安徽旭沐建筑有限公司', '002105291255779203')
('四川筑阳建设工程有限公司', '002105291248673445')
('江西申开建设有限公司', '002107011915129391')
('北京渊浩宏伟建设有限公司', '002106111905110151')
('北京同德佳信建筑工程有限公司', '002105291258782096')
('众合信诚（北京）建筑装饰工程有限责任公司', '002105291240557517')
('陕西嘉程宜建建筑工程有限公司', '002107311920158457')
('四川中鑫兴建筑工程有限公司', '002105291254765678')
('河南飞坤建筑工程有限公司', '002209142016389653')
('吉林省鼎鑫建筑工程有限公司', '002105291254751658')
('湖北德轼蔓建筑工程有限公司', '002105291322983006')
('河北古瑞园林古建筑工程有限公司', '002105291322988772')
('四川省桥通工程咨询有限责任公司', '002105291240521621')
('中盛新创（北京）建筑工程有限公司', '002105291335084160')
('四川德欣盛建筑安装工程有限公司', '002105291247645854')
('江苏成龙建筑安装工程有限公司', '002105291254737917')
('安徽天大项目管理有限公司', '002105291254750569')
('云南云尚燃气工程规划设计有限公司', '002105291240515143')
('云南天森电力工程有限公司', '002105291241602859')
('江西鑫祥装饰工程有限公司', '002105291259828946')
('四川中建丰建筑工程有限公司', '002105291312912512')
('中腾华新（北京）建筑工程有限公司', '002105291335085846')
('安徽聚宏建设工程有限公司', '002105291306898524')
('北京景朋建设有限公司', '002201050956250724')
('安徽杰成建设工程有限公司', '002105291242632452')
('营口市水利勘测建筑设计院', '002105291239451701')
('江苏泽蒙建设工程有限公司', '002105291259818706')
('云南云桥市政工程有限公司', '002105291249707628')
('云南汉鼎建设工程有限责任公司', '002207122024350903')
('湖北神龙工程测试技术有限公司', '002206302012343198')
('北京瑞威工程检测有限公司', '002105291240530828')
('江苏二安建设工程有限公司', '002105291248691218')
('邯郸市三信矿山工程有限公司', '002105291322997340')
('江苏泰业建设工程有限公司', '002105291258795499')
('中电国科技术有限公司', '002105291248654733')
('江苏普金生态环境有限公司', '002105291248690837')
('江西西河机械设备有限公司', '002105291254726106')
('江西宝乾建筑工程有限公司', '002105291255772851')
('四川高辉阳建筑工程有限公司', '002105291241629913')
('四川佳和鑫建筑工程有限公司', '002105291248664744')
('江苏瑞国建设工程有限公司', '002105291322014444')
('安徽广航建筑工程有限公司', '002105291322987072')
('北京宜邦工程有限公司', '002105291313932976')
('内蒙古宏瑞电力检修有限责任公司', '002105291336099672')
('吉林省建筑材料工业设计研究院', '002105291241611675')
('中润美达（北京）建设有限公司', '002105291255769136')
('天津佰焰科技股份有限公司', '002105291328031566')
