('福建乾轩建设工程有限公司', '002110181940201177')
('光大成贤（福建）建设有限公司', '002105291240466163')
('陕西中伟恒创建设工程有限公司', '002105291254751843')
('中天筑巢钢结构工程（北京）有限公司', '002105291240472451')
('山西能久消防设施检测服务有限公司', '002205162015317787')
('四川泉屹建筑工程有限公司', '002105291248675872')
('四川嘉华盛安建筑工程有限公司', '002105291313952188')
('江西家道建设发展有限公司', '002105291241612268')
('北京科玉力恒建筑工程有限公司', '002105291258805334')
('江西远东电力发展有限公司', '002105291248666776')
('河北晟舟市政工程有限公司', '002106241905120729')
('江西久业建设工程有限公司', '002109031905179439')
('安徽迪悦建设工程有限公司', '002111181912219292')
('辽宁恒远路业有限公司', '002105291241571903')
('西藏宏宇建筑设计有限公司', '002106081916108044')
('通辽市政通建筑工程有限责任公司', '002105291240490986')
('北京天川科技发展有限公司', '002105291241610613')
('四川中城兴洲建设工程有限公司', '002105291241619566')
('江苏中化建设有限公司', '002105291240512680')
('辽宁鑫淼建筑工程有限公司', '002105291258789525')
('内蒙古鸿安消防工程有限公司', '002105291336099565')
('安徽晶格建设工程有限公司', '002209272029399441')
('中规院（北京）规划设计有限公司', '002105291313958818')
('河北永筑建筑安装有限公司', '002105291328023803')
('北京中衡九兴工程咨询有限公司', '002105291248649534')
('中恒建瑞建筑工程有限公司', '002202112050271539')
('天能科创新能源技术（北京）有限公司', '002105291240525987')
('安徽彭厦建筑安装工程有限公司', '002105291241609170')
('北京九方源建筑机械设备租赁有限公司', '002105291305857666')
('北京荣洲建筑装饰工程有限公司', '002305192036528155')
('安徽永瑞建设工程有限公司', '002105291240519284')
('四川天筑铭建筑工程有限公司', '002105291254765026')
('四川天道建业建筑安装有限公司', '002105291240520590')
('绍兴博睿建设有限公司', '002108071904163913')
('郑州市环境艺术规划设计研究院', '002105291239452610')
('大悟县市政建设工程有限责任公司', '002105291328029819')
('富铧安科技（北京）有限公司', '002105291336098053')
('云南拓钦建筑工程有限公司', '002207082014348303')
('四川鸿瑞兴胜建筑工程有限公司', '002105291312911156')
('中城鸿泰（北京）建设有限公司', '002105291305878009')
('瓜州县三联建筑安装有限责任公司', '002105291240482471')
('宁夏隆盛达水利工程有限公司', '002105291258798134')
('云南海翼建筑工程有限公司', '002110171913200507')
('长治市鑫湛通土石方工程有限公司', '002105291336095437')
('四川中成泓远建设工程有限公司', '002105291248656373')
('广东建龙混凝土有限公司', '002105291240486531')
('北京世源兴达建筑工程有限公司', '002105291258805806')
('广州荣垚建设工程有限公司', '002105291322998207')
('建成路通（北京）工程有限公司', '002105291328072516')
('重庆鼎鑫鸿建设工程有限公司', '002109091915183109')
('杭州中顺工程科技有限公司', '002202080005269983')
('中科佳洁（北京）水处理设备有限公司', '002105291328029195')
('河南嘉良建设工程有限责任公司', '002112071941232186')
('江河安防技术（江苏）有限公司', '002105291255771338')
('上海浦汇建设工程有限公司', '002105291305861905')
('天津同和建筑工程有限公司', '002105291305853584')
('四川恒瑞鼎盛建设工程有限公司', '002105291254734713')
('山东柳泉园林有限公司', '002203282007292818')
('浙江湖州筑企建设工程有限公司', '002106021903103219')
('湖北洛品建设工程有限公司', '002106221904117873')
('内蒙古惠通建设工程有限公司', '002105291241621553')
('云南华信鼎盛建筑工程有限公司', '002105291254743677')
('成都蜂窝环境艺术工程有限公司', '002105291241569009')
('北京隆新弘建筑工程有限公司', '002205092024314322')
('绵阳市高华建筑设备有限公司', '002105291240484787')
('中建绿洲（北京）国际建设工程有限公司', '002105291248668129')
('四川正浩裕顺建筑工程有限公司', '002105291305848230')
('烟台市中平建设工程有限公司', '002105291240547903')
('广西中平建设工程有限公司', '002105291254756670')
('云南中平建设工程有限公司', '002105291240558335')
('江西中平建设工程有限公司', '002105291259826560')
('定州市兰达建筑工程有限公司', '002106131908111397')
('辽宁大鹏建筑工程有限公司', '002105291305844192')
('浙江宏高生态建设有限公司', '002105291322008764')
('中海远大（北京）建设有限公司', '002105291248659716')
('广东重荣建设工程有限公司', '002109281906191346')
